Name,Symmetry Type,HOMFLY,HOMFLY (vector)
3_1,reversible,(2*v^2-v^4)+ v^2*z^2,[0; 1; [1; 2; 2; -1]; [1; 1; 1]]
4_1,fully amphicheiral,(v^(-2)-1+ v^2)-z^2,[0; 1; [-1; 1; 1; -1; 1]; [0; 0; -1]]
5_1,reversible,(3*v^4-2*v^6)+ (4*v^4-v^6)*z^2+ v^4*z^4,[0; 2; [2; 3; 3; -2]; [2; 3; 4; -1]; [2; 2; 1]]
5_2,reversible,(v^2+ v^4-v^6)+ (v^2+ v^4)*z^2,[0; 1; [1; 3; 1; 1; -1]; [1; 2; 1; 1]]
6_1,reversible,(v^(-2)-v^2+ v^4)+ (-1-v^2)*z^2,[0; 1; [-1; 2; 1; 0; -1; 1]; [0; 1; -1; -1]]
6_2,reversible,(2-2*v^2+ v^4)+ (1-3*v^2+ v^4)*z^2-v^2*z^4,[0; 2; [0; 2; 2; -2; 1]; [0; 2; 1; -3; 1]; [1; 1; -1]]
6_3,fully amphicheiral,(-v^(-2)+ 3-v^2)+ (-v^(-2)+ 3-v^2)*z^2+ z^4,[0; 2; [-1; 1; -1; 3; -1]; [-1; 1; -1; 3; -1]; [0; 0; 1]]
7_1,reversible,(4*v^6-3*v^8)+ (10*v^6-4*v^8)*z^2+ (6*v^6-v^8)*z^4+ v^6*z^6,[0; 3; [3; 4; 4; -3]; [3; 4; 10; -4]; [3; 4; 6; -1]; [3; 3; 1]]
7_2,reversible,(v^2+ v^6-v^8)+ (v^2+ v^4+ v^6)*z^2,[0; 1; [1; 4; 1; 0; 1; -1]; [1; 3; 1; 1; 1]]
7_3,reversible,(v^4+ 2*v^6-2*v^8)+ (3*v^4+ 3*v^6-v^8)*z^2+ (v^4+ v^6)*z^4,[0; 2; [2; 4; 1; 2; -2]; [2; 4; 3; 3; -1]; [2; 3; 1; 1]]
7_4,reversible,(2*v^4-v^8)+ (v^2+ 2*v^4+ v^6)*z^2,[0; 1; [2; 4; 2; 0; -1]; [1; 3; 1; 2; 1]]
7_5,reversible,(2*v^4-v^8)+ (3*v^4+ 2*v^6-v^8)*z^2+ (v^4+ v^6)*z^4,[0; 2; [2; 4; 2; 0; -1]; [2; 4; 3; 2; -1]; [2; 3; 1; 1]]
7_6,reversible,(1-v^2+ 2*v^4-v^6)+ (1-2*v^2+ 2*v^4)*z^2-v^2*z^4,[0; 2; [0; 3; 1; -1; 2; -1]; [0; 2; 1; -2; 2]; [1; 1; -1]]
7_7,reversible,(v^(-4)-2*v^(-2)+ 2)+ (-2*v^(-2)+ 2-v^2)*z^2+ z^4,[0; 2; [-2; 0; 1; -2; 2]; [-1; 1; -2; 2; -1]; [0; 0; 1]]
8_1,reversible,(v^(-2)-v^4+ v^6)+ (-1-v^2-v^4)*z^2,[0; 1; [-1; 3; 1; 0; 0; -1; 1]; [0; 2; -1; -1; -1]]
8_2,reversible,(3*v^2-3*v^4+ v^6)+ (4*v^2-7*v^4+ 3*v^6)*z^2+ (v^2-5*v^4+ v^6)*z^4-v^4*z^6,[0; 3; [1; 3; 3; -3; 1]; [1; 3; 4; -7; 3]; [1; 3; 1; -5; 1]; [2; 2; -1]]
8_3,fully amphicheiral,(v^(-4)-1+ v^4)+ (-v^(-2)-2-v^2)*z^2,[0; 1; [-2; 2; 1; 0; -1; 0; 1]; [-1; 1; -1; -2; -1]]
8_4,reversible,(v^(-4)-2+ 2*v^2)+ (v^(-4)-2*v^(-2)-3+ v^2)*z^2+ (-v^(-2)-1)*z^4,[0; 2; [-2; 1; 1; 0; -2; 2]; [-2; 1; 1; -2; -3; 1]; [-1; 0; -1; -1]]
8_5,reversible,(4*v^2-5*v^4+ 2*v^6)+ (4*v^2-8*v^4+ 3*v^6)*z^2+ (v^2-5*v^4+ v^6)*z^4-v^4*z^6,[0; 3; [1; 3; 4; -5; 2]; [1; 3; 4; -8; 3]; [1; 3; 1; -5; 1]; [2; 2; -1]]
8_6,reversible,(2-v^2-v^4+ v^6)+ (1-2*v^2-2*v^4+ v^6)*z^2+ (-v^2-v^4)*z^4,[0; 2; [0; 3; 2; -1; -1; 1]; [0; 3; 1; -2; -2; 1]; [1; 2; -1; -1]]
8_7,reversible,(-2*v^(-4)+ 4*v^(-2)-1)+ (-3*v^(-4)+ 8*v^(-2)-3)*z^2+ (-v^(-4)+ 5*v^(-2)-1)*z^4+ (v^(-2))*z^6,[0; 3; [-2; 0; -2; 4; -1]; [-2; 0; -3; 8; -3]; [-2; 0; -1; 5; -1]; [-1; -1; 1]]
8_8,reversible,(-v^(-4)+ v^(-2)+ 2-v^2)+ (-v^(-4)+ 2*v^(-2)+ 2-v^2)*z^2+ (v^(-2)+ 1)*z^4,[0; 2; [-2; 1; -1; 1; 2; -1]; [-2; 1; -1; 2; 2; -1]; [-1; 0; 1; 1]]
8_9,fully amphicheiral,(2*v^(-2)-3+ 2*v^2)+ (3*v^(-2)-8+ 3*v^2)*z^2+ (v^(-2)-5+ v^2)*z^4-z^6,[0; 3; [-1; 1; 2; -3; 2]; [-1; 1; 3; -8; 3]; [-1; 1; 1; -5; 1]; [0; 0; -1]]
8_10,reversible,(-3*v^(-4)+ 6*v^(-2)-2)+ (-3*v^(-4)+ 9*v^(-2)-3)*z^2+ (-v^(-4)+ 5*v^(-2)-1)*z^4+ (v^(-2))*z^6,[0; 3; [-2; 0; -3; 6; -2]; [-2; 0; -3; 9; -3]; [-2; 0; -1; 5; -1]; [-1; -1; 1]]
8_11,reversible,(1+ v^2-2*v^4+ v^6)+ (1-v^2-2*v^4+ v^6)*z^2+ (-v^2-v^4)*z^4,[0; 2; [0; 3; 1; 1; -2; 1]; [0; 3; 1; -1; -2; 1]; [1; 2; -1; -1]]
8_12,fully amphicheiral,(v^(-4)-v^(-2)+ 1-v^2+ v^4)+ (-2*v^(-2)+ 1-2*v^2)*z^2+ z^4,[0; 2; [-2; 2; 1; -1; 1; -1; 1]; [-1; 1; -2; 1; -2]; [0; 0; 1]]
