Name,Jones,Jones (vector),Symmetry Type
3_1,t+ t^3-t^4,[1; 4; 1; 0; 1; -1],reversible
4_1,t^(-2)-t^(-1)+ 1-t+ t^2,[-2; 2; 1; -1; 1; -1; 1],fully amphicheiral
5_1,t^2+ t^4-t^5+ t^6-t^7,[2; 7; 1; 0; 1; -1; 1; -1],reversible
5_2,t-t^2+ 2*t^3-t^4+ t^5-t^6,[1; 6; 1; -1; 2; -1; 1; -1],reversible
6_1,t^(-2)-t^(-1)+ 2-2*t+ t^2-t^3+ t^4,[-2; 4; 1; -1; 2; -2; 1; -1; 1],reversible
6_2,t^(-1)-1+ 2*t-2*t^2+ 2*t^3-2*t^4+ t^5,[-1; 5; 1; -1; 2; -2; 2; -2; 1],reversible
6_3,-t^(-3)+ 2*t^(-2)-2*t^(-1)+ 3-2*t+ 2*t^2-t^3,[-3; 3; -1; 2; -2; 3; -2; 2; -1],fully amphicheiral
7_1,t^3+ t^5-t^6+ t^7-t^8+ t^9-t^10,[3; 10; 1; 0; 1; -1; 1; -1; 1; -1],reversible
7_2,t-t^2+ 2*t^3-2*t^4+ 2*t^5-t^6+ t^7-t^8,[1; 8; 1; -1; 2; -2; 2; -1; 1; -1],reversible
7_3,t^2-t^3+ 2*t^4-2*t^5+ 3*t^6-2*t^7+ t^8-t^9,[2; 9; 1; -1; 2; -2; 3; -2; 1; -1],reversible
7_4,t-2*t^2+ 3*t^3-2*t^4+ 3*t^5-2*t^6+ t^7-t^8,[1; 8; 1; -2; 3; -2; 3; -2; 1; -1],reversible
7_5,t^2-t^3+ 3*t^4-3*t^5+ 3*t^6-3*t^7+ 2*t^8-t^9,[2; 9; 1; -1; 3; -3; 3; -3; 2; -1],reversible
7_6,t^(-1)-2+ 3*t-3*t^2+ 4*t^3-3*t^4+ 2*t^5-t^6,[-1; 6; 1; -2; 3; -3; 4; -3; 2; -1],reversible
7_7,t^(-4)-2*t^(-3)+ 3*t^(-2)-4*t^(-1)+ 4-3*t+ 3*t^2-t^3,[-4; 3; 1; -2; 3; -4; 4; -3; 3; -1],reversible
8_1,t^(-2)-t^(-1)+ 2-2*t+ 2*t^2-2*t^3+ t^4-t^5+ t^6,[-2; 6; 1; -1; 2; -2; 2; -2; 1; -1; 1],reversible
8_2,1-t+ 2*t^2-2*t^3+ 3*t^4-3*t^5+ 2*t^6-2*t^7+ t^8,[0; 8; 1; -1; 2; -2; 3; -3; 2; -2; 1],reversible
8_3,t^(-4)-t^(-3)+ 2*t^(-2)-3*t^(-1)+ 3-3*t+ 2*t^2-t^3+ t^4,[-4; 4; 1; -1; 2; -3; 3; -3; 2; -1; 1],fully amphicheiral
8_4,t^(-5)-2*t^(-4)+ 3*t^(-3)-3*t^(-2)+ 3*t^(-1)-3+ 2*t^1-t^2+ t^3,[-5; 3; 1; -2; 3; -3; 3; -3; 2; -1; 1],reversible
8_5,1-t+ 3*t^2-3*t^3+ 3*t^4-4*t^5+ 3*t^6-2*t^7+ t^8,[0; 8; 1; -1; 3; -3; 3; -4; 3; -2; 1],reversible
8_6,t^(-1)-1+ 3*t-4*t^2+ 4*t^3-4*t^4+ 3*t^5-2*t^6+ t^7,[-1; 7; 1; -1; 3; -4; 4; -4; 3; -2; 1],reversible
8_7,-t^(-6)+ 2*t^(-5)-3*t^(-4)+ 4*t^(-3)-4*t^(-2)+ 4*t^(-1)-2+ 2*t-t^2,[-6; 2; -1; 2; -3; 4; -4; 4; -2; 2; -1],reversible
8_8,-t^(-5)+ 2*t^(-4)-3*t^(-3)+ 4*t^(-2)-4*t^(-1)+ 5-3*t+ 2*t^2-t^3,[-5; 3; -1; 2; -3; 4; -4; 5; -3; 2; -1],reversible
8_9,t^(-4)-2*t^(-3)+ 3*t^(-2)-4*t^(-1)+ 5-4*t+ 3*t^2-2*t^3+ t^4,[-4; 4; 1; -2; 3; -4; 5; -4; 3; -2; 1],fully amphicheiral
8_10,-t^(-6)+ 2*t^(-5)-4*t^(-4)+ 5*t^(-3)-4*t^(-2)+ 5*t^(-1)-3+ 2*t-t^2,[-6; 2; -1; 2; -4; 5; -4; 5; -3; 2; -1],reversible
8_11,t^(-1)-2+ 4*t-4*t^2+ 5*t^3-5*t^4+ 3*t^5-2*t^6+ t^7,[-1; 7; 1; -2; 4; -4; 5; -5; 3; -2; 1],reversible
8_12,t^(-4)-2*t^(-3)+ 4*t^(-2)-5*t^(-1)+ 5-5*t+ 4*t^2-2*t^3+ t^4,[-4; 4; 1; -2; 4; -5; 5; -5; 4; -2; 1],fully amphicheiral
8_13,-t^(-5)+ 2*t^(-4)-3*t^(-3)+ 5*t^(-2)-5*t^(-1)+ 5-4*t+ 3*t^2-t^3,[-5; 3; -1; 2; -3; 5; -5; 5; -4; 3; -1],reversible
8_14,t^(-1)-2+ 4*t-5*t^2+ 6*t^3-5*t^4+ 4*t^5-3*t^6+ t^7,[-1; 7; 1; -2; 4; -5; 6; -5; 4; -3; 1],reversible
8_15,t^2-2*t^3+ 5*t^4-5*t^5+ 6*t^6-6*t^7+ 4*t^8-3*t^9+ t^10,[2; 10; 1; -2; 5; -5; 6; -6; 4; -3; 1],reversible
8_16,-t^(-6)+ 3*t^(-5)-5*t^(-4)+ 6*t^(-3)-6*t^(-2)+ 6*t^(-1)-4+ 3*t-t^2,[-6; 2; -1; 3; -5; 6; -6; 6; -4; 3; -1],reversible
8_17,t^(-4)-3*t^(-3)+ 5*t^(-2)-6*t^(-1)+ 7-6*t+ 5*t^2-3*t^3+ t^4,[-4; 4; 1; -3; 5; -6; 7; -6; 5; -3; 1],negative amphicheiral
8_18,t^(-4)-4*t^(-3)+ 6*t^(-2)-7*t^(-1)+ 9-7*t+ 6*t^2-4*t^3+ t^4,[-4; 4; 1; -4; 6; -7; 9; -7; 6; -4; 1],fully amphicheiral
8_19,t^3+ t^5-t^8,[3; 8; 1; 0; 1; 0; 0; -1],reversible
8_20,-t^(-5)+ t^(-4)-t^(-3)+ 2*t^(-2)-t^(-1)+ 2-t,[-5; 1; -1; 1; -1; 2; -1; 2; -1],reversible
8_21,2*t-2*t^2+ 3*t^3-3*t^4+ 2*t^5-2*t^6+ t^7,[1; 7; 2; -2; 3; -3; 2; -2; 1],reversible
9_1,t^4+ t^6-t^7+ t^8-t^9+ t^10-t^11+ t^12-t^13,[4; 13; 1; 0; 1; -1; 1; -1; 1; -1; 1; -1],reversible
9_2,t-t^2+ 2*t^3-2*t^4+ 2*t^5-2*t^6+ 2*t^7-t^8+ t^9-t^10,[1; 10; 1; -1; 2; -2; 2; -2; 2; -1; 1; -1],reversible
9_3,t^3-t^4+ 2*t^5-2*t^6+ 3*t^7-3*t^8+ 3*t^9-2*t^10+ t^11-t^12,[3; 12; 1; -1; 2; -2; 3; -3; 3; -2; 1; -1],reversible
9_4,t^2-t^3+ 2*t^4-3*t^5+ 4*t^6-3*t^7+ 3*t^8-2*t^9+ t^10-t^11,[2; 11; 1; -1; 2; -3; 4; -3; 3; -2; 1; -1],reversible
9_5,t-2*t^2+ 3*t^3-3*t^4+ 4*t^5-3*t^6+ 3*t^7-2*t^8+ t^9-t^10,[1; 10; 1; -2; 3; -3; 4; -3; 3; -2; 1; -1],reversible
9_6,t^3-t^4+ 3*t^5-3*t^6+ 4*t^7-5*t^8+ 4*t^9-3*t^10+ 2*t^11-t^12,[3; 12; 1; -1; 3; -3; 4; -5; 4; -3; 2; -1],reversible
9_7,t^2-t^3+ 3*t^4-4*t^5+ 5*t^6-5*t^7+ 4*t^8-3*t^9+ 2*t^10-t^11,[2; 11; 1; -1; 3; -4; 5; -5; 4; -3; 2; -1],reversible
9_8,t^(-3)-2*t^(-2)+ 3*t^(-1)-4+ 5*t-5*t^2+ 5*t^3-3*t^4+ 2*t^5-t^6,[-3; 6; 1; -2; 3; -4; 5; -5; 5; -3; 2; -1],reversible
9_9,t^3-t^4+ 3*t^5-4*t^6+ 5*t^7-5*t^8+ 5*t^9-4*t^10+ 2*t^11-t^12,[3; 12; 1; -1; 3; -4; 5; -5; 5; -4; 2; -1],reversible
9_10,t^2-2*t^3+ 4*t^4-5*t^5+ 6*t^6-5*t^7+ 5*t^8-3*t^9+ t^10-t^11,[2; 11; 1; -2; 4; -5; 6; -5; 5; -3; 1; -1],reversible
9_11,-t^(-9)+ 2*t^(-8)-4*t^(-7)+ 5*t^(-6)-5*t^(-5)+ 6*t^(-4)-4*t^(-3)+ 3*t^(-2)-2*t^(-1)+ 1,[-9; 0; -1; 2; -4; 5; -5; 6; -4; 3; -2; 1],reversible
