Name,Kauffman,Kauffman (vector),Symmetry Type
3_1,(-a^(-4)-2*a^(-2))*z^(0)+ (a^(-5)+ a^(-3))*z^(1)+ (a^(-4)+ a^(-2))*z^(2),[0; 2; [-4; -2; -1; 0; -2]; [-5; -3; 1; 0; 1]; [-4; -2; 1; 0; 1]],reversible
4_1,(-a^(-2)-1-a^2)*z^(0)+ (-a^(-1)-a)*z^(1)+ (a^(-2)+ 2+ a^2)*z^(2)+ (a^(-1)+ a)*z^(3),[0; 3; [-2; 2; -1; 0; -1; 0; -1]; [-1; 1; -1; 0; -1]; [-2; 2; 1; 0; 2; 0; 1]; [-1; 1; 1; 0; 1]],fully amphicheiral
5_1,(2*a^(-6)+ 3*a^(-4))*z^(0)+ (a^(-9)-a^(-7)-2*a^(-5))*z^(1)+ (a^(-8)-3*a^(-6)-4*a^(-4))*z^(2)+ (a^(-7)+ a^(-5))*z^(3)+ (a^(-6)+ a^(-4))*z^(4),[0; 4; [-6; -4; 2; 0; 3]; [-9; -5; 1; 0; -1; 0; -2]; [-8; -4; 1; 0; -3; 0; -4]; [-7; -5; 1; 0; 1]; [-6; -4; 1; 0; 1]],reversible
5_2,(a^(-6)+ a^(-4)-a^(-2))*z^(0)+ (-2*a^(-7)-2*a^(-5))*z^(1)+ (-2*a^(-6)-a^(-4)+ a^(-2))*z^(2)+ (a^(-7)+ 2*a^(-5)+ a^(-3))*z^(3)+ (a^(-6)+ a^(-4))*z^(4),[0; 4; [-6; -2; 1; 0; 1; 0; -1]; [-7; -5; -2; 0; -2]; [-6; -2; -2; 0; -1; 0; 1]; [-7; -3; 1; 0; 2; 0; 1]; [-6; -4; 1; 0; 1]],reversible
6_1,(a^(-4)+ a^(-2)-a^2)*z^(0)+ (2*a^(-3)+ 2*a^(-1))*z^(1)+ (-3*a^(-4)-4*a^(-2)+ a^2)*z^(2)+ (-3*a^(-3)-2*a^(-1)+ a)*z^(3)+ (a^(-4)+ 2*a^(-2)+ 1)*z^(4)+ (a^(-3)+ a^(-1))*z^(5),[0; 5; [-4; 2; 1; 0; 1; 0; 0; 0; -1]; [-3; -1; 2; 0; 2]; [-4; 2; -3; 0; -4; 0; 0; 0; 1]; [-3; 1; -3; 0; -2; 0; 1]; [-4; 0; 1; 0; 2; 0; 1]; [-3; -1; 1; 0; 1]],reversible
6_2,(a^(-4)+ 2*a^(-2)+ 2)*z^(0)+ (-a^(-5)-a^(-3))*z^(1)+ (a^(-6)-2*a^(-4)-6*a^(-2)-3)*z^(2)+ (2*a^(-5)-2*a^(-1))*z^(3)+ (2*a^(-4)+ 3*a^(-2)+ 1)*z^(4)+ (a^(-3)+ a^(-1))*z^(5),[0; 5; [-4; 0; 1; 0; 2; 0; 2]; [-5; -3; -1; 0; -1]; [-6; 0; 1; 0; -2; 0; -6; 0; -3]; [-5; -1; 2; 0; 0; 0; -2]; [-4; 0; 2; 0; 3; 0; 1]; [-3; -1; 1; 0; 1]],reversible
6_3,(a^(-2)+ 3+ a^2)*z^(0)+ (-a^(-3)-2*a^(-1)-2*a-a^3)*z^(1)+ (-3*a^(-2)-6-3*a^2)*z^(2)+ (a^(-3)+ a^(-1)+ a+ a^3)*z^(3)+ (2*a^(-2)+ 4+ 2*a^2)*z^(4)+ (a^(-1)+ a)*z^(5),[0; 5; [-2; 2; 1; 0; 3; 0; 1]; [-3; 3; -1; 0; -2; 0; -2; 0; -1]; [-2; 2; -3; 0; -6; 0; -3]; [-3; 3; 1; 0; 1; 0; 1; 0; 1]; [-2; 2; 2; 0; 4; 0; 2]; [-1; 1; 1; 0; 1]],fully amphicheiral
7_1,(-3*a^(-8)-4*a^(-6))*z^(0)+ (a^(-13)-a^(-11)+ a^(-9)+ 3*a^(-7))*z^(1)+ (a^(-12)-2*a^(-10)+ 7*a^(-8)+ 10*a^(-6))*z^(2)+ (a^(-11)-3*a^(-9)-4*a^(-7))*z^(3)+ (a^(-10)-5*a^(-8)-6*a^(-6))*z^(4)+ (a^(-9)+ a^(-7))*z^(5)+ (a^(-8)+ a^(-6))*z^(6),[0; 6; [-8; -6; -3; 0; -4]; [-13; -7; 1; 0; -1; 0; 1; 0; 3]; [-12; -6; 1; 0; -2; 0; 7; 0; 10]; [-11; -7; 1; 0; -3; 0; -4]; [-10; -6; 1; 0; -5; 0; -6]; [-9; -7; 1; 0; 1]; [-8; -6; 1; 0; 1]],reversible
7_2,(-a^(-8)-a^(-6)-a^(-2))*z^(0)+ (3*a^(-9)+ 3*a^(-7))*z^(1)+ (4*a^(-8)+ 3*a^(-6)+ a^(-2))*z^(2)+ (-4*a^(-9)-6*a^(-7)-a^(-5)+ a^(-3))*z^(3)+ (-4*a^(-8)-3*a^(-6)+ a^(-4))*z^(4)+ (a^(-9)+ 2*a^(-7)+ a^(-5))*z^(5)+ (a^(-8)+ a^(-6))*z^(6),[0; 6; [-8; -2; -1; 0; -1; 0; 0; 0; -1]; [-9; -7; 3; 0; 3]; [-8; -2; 4; 0; 3; 0; 0; 0; 1]; [-9; -3; -4; 0; -6; 0; -1; 0; 1]; [-8; -4; -4; 0; -3; 0; 1]; [-9; -5; 1; 0; 2; 0; 1]; [-8; -6; 1; 0; 1]],reversible
7_3,(-2*a^(-8)-2*a^(-6)+ a^(-4))*z^(0)+ (-2*a^(-11)+ a^(-9)+ 3*a^(-7))*z^(1)+ (-a^(-10)+ 6*a^(-8)+ 4*a^(-6)-3*a^(-4))*z^(2)+ (a^(-11)-a^(-9)-4*a^(-7)-2*a^(-5))*z^(3)+ (a^(-10)-3*a^(-8)-3*a^(-6)+ a^(-4))*z^(4)+ (a^(-9)+ 2*a^(-7)+ a^(-5))*z^(5)+ (a^(-8)+ a^(-6))*z^(6),[0; 6; [-8; -4; -2; 0; -2; 0; 1]; [-11; -7; -2; 0; 1; 0; 3]; [-10; -4; -1; 0; 6; 0; 4; 0; -3]; [-11; -5; 1; 0; -1; 0; -4; 0; -2]; [-10; -4; 1; 0; -3; 0; -3; 0; 1]; [-9; -5; 1; 0; 2; 0; 1]; [-8; -6; 1; 0; 1]],reversible
7_4,(-a^(-8)+ 2*a^(-4))*z^(0)+ (4*a^(-9)+ 4*a^(-7))*z^(1)+ (2*a^(-8)-3*a^(-6)-4*a^(-4)+ a^(-2))*z^(2)+ (-4*a^(-9)-8*a^(-7)-2*a^(-5)+ 2*a^(-3))*z^(3)+ (-3*a^(-8)+ 3*a^(-4))*z^(4)+ (a^(-9)+ 3*a^(-7)+ 2*a^(-5))*z^(5)+ (a^(-8)+ a^(-6))*z^(6),[0; 6; [-8; -4; -1; 0; 0; 0; 2]; [-9; -7; 4; 0; 4]; [-8; -2; 2; 0; -3; 0; -4; 0; 1]; [-9; -3; -4; 0; -8; 0; -2; 0; 2]; [-8; -4; -3; 0; 0; 0; 3]; [-9; -5; 1; 0; 3; 0; 2]; [-8; -6; 1; 0; 1]],reversible
7_5,(-a^(-8)+ 2*a^(-4))*z^(0)+ (-a^(-11)+ a^(-9)+ a^(-7)-a^(-5))*z^(1)+ (-2*a^(-10)+ a^(-8)-3*a^(-4))*z^(2)+ (a^(-11)-2*a^(-9)-4*a^(-7)-a^(-5))*z^(3)+ (2*a^(-10)-a^(-6)+ a^(-4))*z^(4)+ (2*a^(-9)+ 3*a^(-7)+ a^(-5))*z^(5)+ (a^(-8)+ a^(-6))*z^(6),[0; 6; [-8; -4; -1; 0; 0; 0; 2]; [-11; -5; -1; 0; 1; 0; 1; 0; -1]; [-10; -4; -2; 0; 1; 0; 0; 0; -3]; [-11; -5; 1; 0; -2; 0; -4; 0; -1]; [-10; -4; 2; 0; 0; 0; -1; 0; 1]; [-9; -5; 2; 0; 3; 0; 1]; [-8; -6; 1; 0; 1]],reversible
7_6,(a^(-6)+ 2*a^(-4)+ a^(-2)+ 1)*z^(0)+ (-a^(-7)+ 2*a^(-3)+ a^(-1))*z^(1)+ (-2*a^(-6)-4*a^(-4)-4*a^(-2)-2)*z^(2)+ (a^(-7)-a^(-5)-6*a^(-3)-4*a^(-1))*z^(3)+ (2*a^(-6)+ 2*a^(-4)+ a^(-2)+ 1)*z^(4)+ (2*a^(-5)+ 4*a^(-3)+ 2*a^(-1))*z^(5)+ (a^(-4)+ a^(-2))*z^(6),[0; 6; [-6; 0; 1; 0; 2; 0; 1; 0; 1]; [-7; -1; -1; 0; 0; 0; 2; 0; 1]; [-6; 0; -2; 0; -4; 0; -4; 0; -2]; [-7; -1; 1; 0; -1; 0; -6; 0; -4]; [-6; 0; 2; 0; 2; 0; 1; 0; 1]; [-5; -1; 2; 0; 4; 0; 2]; [-4; -2; 1; 0; 1]],reversible
